timestamp,frame_index,target_id,meter_conf,display_conf,meter_cx,meter_cy,display_cx,display_cy,target_source,depth_m,camera_x_m,camera_y_m,camera_z_m,smooth_x_m,smooth_y_m,smooth_z_m,has_display
1787399908.7835324,37,2,0.940914,0.905016,735,552,742,499,meter,0.793000,0.075433,0.185339,0.793000,0.075528,0.186454,0.794000,1
1787399908.7835324,37,3,0.940646,0.949890,899,554,900,497,meter,0.810000,0.224148,0.192907,0.810000,0.223594,0.192907,0.808000,1
1787399908.9274163,38,1,0.931927,0.928525,737,262,737,210,meter,0.819500,0.059805,-0.099493,0.819500,0.059951,-0.099974,0.819000,1
1787399908.9274163,38,2,0.937545,0.903980,735,552,742,499,meter,0.792000,0.075338,0.185984,0.792000,0.075528,0.186040,0.794000,1
1787399908.9274163,38,3,0.939436,0.950971,899,555,900,496,meter,0.808000,0.223594,0.193328,0.808000,0.223594,0.192907,0.808000,1
1787399909.0910106,39,1,0.932345,0.922961,737,262,737,210,meter,0.818000,0.059695,-0.099311,0.818000,0.059805,-0.099974,0.819000,1
1787399909.0910106,39,2,0.939193,0.902243,735,552,742,499,meter,0.795000,0.075623,0.185806,0.795000,0.075528,0.186040,0.794000,1
1787399909.0910106,39,3,0.938359,0.954888,899,555,900,497,meter,0.809000,0.223871,0.193567,0.809000,0.223594,0.192907,0.808000,1
1787399909.2266755,40,1,0.931103,0.926309,737,262,737,210,meter,0.817000,0.059622,-0.099189,0.817000,0.059805,-0.099974,0.819000,1
1787399909.2266755,40,2,0.938711,0.909886,735,552,742,499,meter,0.795000,0.075623,0.186688,0.795000,0.075528,0.186454,0.794000,1
1787399909.2266755,40,3,0.944728,0.952276,899,554,900,496,meter,0.809000,0.223871,0.191772,0.809000,0.223871,0.192907,0.809000,1
1787399909.3457997,41,1,0.932895,0.925820,736,262,737,210,meter,0.820500,0.059878,-0.099614,0.820500,0.059805,-0.099974,0.819000,1
1787399909.3457997,41,2,0.939264,0.904179,735,553,742,499,meter,0.797000,0.075813,0.188042,0.797000,0.075528,0.186454,0.794000,1
1787399909.3457997,41,3,0.935063,0.947982,899,555,900,496,meter,0.807000,0.223318,0.193089,0.807000,0.223871,0.193089,0.809000,1
1787399909.4993877,42,1,0.932960,0.925880,737,262,737,210,meter,0.818000,0.059695,-0.099311,0.818000,0.059805,-0.099736,0.819000,1
1787399909.4993877,42,2,0.939637,0.908904,735,552,742,499,meter,0.795000,0.075623,0.185806,0.795000,0.075528,0.186454,0.794000,1
1787399909.4993877,42,3,0.941086,0.948226,899,557,900,497,meter,0.809000,0.223871,0.196261,0.809000,0.223871,0.193328,0.809000,1
1787399909.6196365,43,1,0.930597,0.921365,738,263,737,210,meter,0.820000,0.060749,-0.098644,0.820000,0.059805,-0.099614,0.819000,1
1787399909.6196365,43,2,0.939517,0.903934,736,552,742,499,meter,0.796000,0.076600,0.186040,0.796000,0.075623,0.186040,0.795000,1
1787399909.6196365,43,3,0.934797,0.956250,899,553,900,496,meter,0.805000,0.222764,0.190823,0.805000,0.223871,0.193089,0.809000,1
1787399909.744831,44,1,0.932039,0.923757,736,262,737,210,meter,0.819500,0.059805,-0.099493,0.819500,0.059805,-0.099614,0.819000,1
1787399909.744831,44,2,0.937919,0.907606,735,552,742,499,meter,0.792000,0.075338,0.185984,0.792000,0.075623,0.186040,0.795000,1
1787399909.744831,44,3,0.940588,0.955249,899,557,900,496,meter,0.810000,0.224148,0.195604,0.810000,0.223871,0.193089,0.809000,1
1787399909.870794,45,1,0.934186,0.925868,737,261,737,210,meter,0.822000,0.080012,-0.074254,0.822000,0.059878,-0.099493,0.819500,1
1787399909.870794,45,2,0.938709,0.897614,735,552,742,499,meter,0.794000,0.075528,0.186454,0.794000,0.075528,0.186040,0.794000,1
1787399909.870794,45,3,0.940039,0.947144,899,556,900,496,meter,0.807000,0.223318,0.193984,0.807000,0.223871,0.193328,0.809000,1
1787399910.000522,46,1,0.931933,0.922152,737,262,737,210,meter,0.820000,0.060749,-0.099554,0.820000,0.059951,-0.099493,0.819500,1
1787399910.000522,46,2,0.938771,0.908168,735,553,742,499,meter,0.795000,0.075623,0.186688,0.795000,0.075623,0.186454,0.795000,1
1787399910.000522,46,3,0.947060,0.954105,899,555,900,497,meter,0.810000,0.224148,0.193806,0.810000,0.223871,0.193328,0.809000,1
1787399910.146263,47,1,0.931571,0.926992,737,262,737,210,meter,0.819500,0.060712,-0.099493,0.819500,0.059951,-0.099493,0.819500,1
1787399910.146263,47,2,0.937413,0.908294,735,552,742,499,meter,0.795000,0.075623,0.185806,0.795000,0.075623,0.186040,0.795000,1
1787399910.146263,47,3,0.935783,0.956239,899,556,900,496,meter,0.806000,0.223041,0.192849,0.806000,0.223594,0.193328,0.808000,1
1787399910.2825682,48,1,0.932082,0.919446,737,262,737,210,meter,0.818500,0.060638,-0.099371,0.818500,0.059951,-0.099493,0.819500,1
1787399910.2825682,48,2,0.940363,0.907480,735,553,742,499,meter,0.793000,0.075433,0.187099,0.793000,0.075623,0.186040,0.795000,1
1787399910.2825682,48,3,0.945515,0.953211,899,558,900,497,meter,0.807000,0.223318,0.195775,0.807000,0.223594,0.193328,0.808000,1
1787399910.4086602,49,1,0.933169,0.924276,737,262,737,210,meter,0.819000,0.060675,-0.099432,0.819000,0.059951,-0.099493,0.819500,1
1787399910.4086602,49,2,0.936553,0.897977,735,552,742,499,meter,0.795000,0.075623,0.186688,0.795000,0.075623,0.186040,0.795000,1
1787399910.4086602,49,3,0.926201,0.951582,900,552,900,496,meter,0.807000,0.224211,0.189506,0.807000,0.223871,0.193328,0.808000,1
1787399910.549678,50,1,0.930708,0.935204,737,261,737,210,meter,0.821500,0.060860,-0.100647,0.821500,0.060453,-0.099493,0.819500,1
1787399910.549678,50,2,0.936994,0.900430,735,554,742,499,meter,0.793000,0.075433,0.187979,0.793000,0.075623,0.186040,0.795000,1
1787399910.549678,50,3,0.948271,0.950218,899,557,900,497,meter,0.812000,0.224701,0.196988,0.812000,0.223871,0.193328,0.809000,1
1787399910.690749,51,1,0.931894,0.922393,737,262,737,210,meter,0.817500,0.059659,-0.099250,0.817500,0.059951,-0.099432,0.819500,1
1787399910.690749,51,2,0.941107,0.897588,735,552,742,499,meter,0.794000,0.075528,0.185572,0.794000,0.075623,0.186040,0.795000,1
1787399910.690749,51,3,0.945296,0.954081,899,559,900,496,meter,0.806000,0.223041,0.197322,0.806000,0.223871,0.193567,0.808000,1
1787399910.8448024,52,1,0.932304,0.928139,737,262,737,210,meter,0.820500,0.059878,-0.099614,0.820500,0.059878,-0.099432,0.819500,1
1787399910.8448024,52,2,0.939572,0.910790,736,552,742,499,meter,0.795000,0.076504,0.185806,0.795000,0.075623,0.186040,0.795000,1
1787399910.8448024,52,3,0.943961,0.955357,899,558,900,496,meter,0.807000,0.223318,0.196671,0.807000,0.223594,0.193806,0.807000,1
1787399911.008868,53,1,0.933096,0.925572,736,262,737,210,meter,0.818500,0.059732,-0.099371,0.818500,0.059878,-0.099371,0.819500,1
1787399911.008868,53,2,0.938321,0.909093,735,552,742,499,meter,0.794000,0.075528,0.186454,0.794000,0.075623,0.186454,0.795000,1
1787399911.008868,53,3,0.944449,0.951896,899,558,900,497,meter,0.808000,0.223594,0.196018,0.808000,0.223594,0.193984,0.807000,1
1787399911.173383,54,1,0.930399,0.922409,737,262,737,210,meter,0.816000,0.060453,-0.099068,0.816000,0.060453,-0.099371,0.819500,1
